Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
CAD=X,1.4218,2025/04/05,05:21 BST,0.013059974,1.4218,1.4218,1.4218,0,,,,,,,,
TSLA,239.43,2025/04/04,16:00 EDT,-27.850006,255.37,261.0,236.0,179251800,,,,,,,,
YTSL.NE,15.41,2025/04/04,15:59 EDT,-1.9099998,16.42,16.69,15.21,454730,,,,,,,,
TSLY,7.72,2025/04/04,16:00 EDT,-0.840001,8.21,8.39,7.61,4837278,,,,,,,,
UBER,64.62,2025/04/04,16:00 EDT,-5.23,66.695,67.5594,63.94,32175843,,,,,,,,
$$BLANK,,,,,,,,,,,,,,,,
MSFT,359.84,2025/04/04,16:00 EDT,-13.269989,364.125,374.59,359.49,48685644,,,,,,,,
NVDA,94.31,2025/04/04,16:00 EDT,-7.4900055,98.94,100.1241,92.11,525608136,,,,,,,,
AMD,85.76,2025/04/04,16:00 EDT,-8.040001,90.08,91.08,83.69,65393510,,,,,,,,
AAPL,188.38,2025/04/04,16:00 EDT,-14.809998,193.925,199.88,187.345,124921508,,,,,,,,
APLY.NE,22.8,2025/04/04,15:58 EDT,-2.1100006,23.95,24.42,22.68,15065,,,,,,,,
AMZN,171.0,2025/04/04,16:00 EDT,-7.4100037,167.145,178.1436,166.0,118861656,,,,,,,,
YAMZ.NE,34.4,2025/04/04,15:59 EDT,-1.9599991,33.55,35.96,33.3,56083,,,,,,,,
GOOGL,145.6,2025/04/04,16:00 EDT,-5.119995,148.175,151.05,145.38,62058272,,,,,,,,
YGOG.NE,25.98,2025/04/04,15:55 EDT,-1.1200008,26.56,27.08,26.0,14086,,,,,,,,
NFLX,855.86,2025/04/04,16:00 EDT,-61.190002,896.5,906.6282,853.87,6760001,,,,,,,,
DIS,83.53,2025/04/04,16:00 EDT,-5.31,86.0,87.54,83.08,20110781,,,,,,,,
DDOG,87.93,2025/04/04,16:00 EDT,-6.540001,90.91,92.0,86.57,7554300,,,,,,,,
TWLO,83.58,2025/04/04,16:00 EDT,-5.95,84.84,87.415,80.36,3156587,,,,,,,,
DOCU,72.21,2025/04/04,16:00 EDT,-5.1600037,74.05,74.92,70.54,2881284,,,,,,,,
$$BLANK2,,,,,,,,,,,,,,,,
XYZ,50.26,2025/04/04,16:00 EDT,-3.71,50.3101,51.88,47.69,15181905,,,,,,,,
SOFI,9.57,2025/04/04,16:00 EDT,-1.0700006,9.99,10.2199,8.88,89308990,,,,,,,,
PYPL,58.37,2025/04/04,16:00 EDT,-3.3400002,60.0,60.19,57.3248,22088650,,,,,,,,
V,313.13,2025/04/04,16:00 EDT,-26.26,330.0,334.58,312.13,13192106,,,,,,,,
ABNB,106.66,2025/04/04,16:00 EDT,-7.3099976,109.26,110.42,104.73,10248104,,,,,,,,
